Reporter,Year,Trade Value 1000USD,Quantity,Quantity Unit
Mexico,2019,4541285.26,4.47E+09,Liter
European Union,2019,3917820.76,3.63E+09,Liter
Netherlands,2019,2015904.57,1.84E+09,Liter
Belgium,2019,1956569.84,1.78E+09,Liter
Germany,2019,1352381.72,1.60E+09,Liter
United States,2019,805928.27,5.44E+08,Liter
United Kingdom,2019,638786.83,5.39E+08,Liter
France,2019,351887.97,4.98E+08,Liter
Ireland,2019,344097.18,5.03E+08,Liter
Czech Republic,2019,331662.42,5.46E+08,Liter
Denmark,2019,276217.41,3.04E+08,Liter
China,2019,255317.4,4.18E+08,Liter
Italy,2019,253941.16,,
Spain,2019,243165.71,2.71E+08,Liter
Poland,2019,206560.25,3.81E+08,Liter
Russian Federation,2019,148529.2,3.65E+08,Liter
Portugal,2019,147273.18,1.88E+08,Liter
"Korea, Rep.",2019,146229.1,2.10E+08,Liter
Singapore,2019,127665.21,1.10E+08,Liter
Thailand,2019,127580.08,1.38E+08,Liter
Canada,2019,109260.93,1.46E+08,Liter
South Africa,2019,92352.34,1.31E+08,Liter
Japan,2019,84070.24,8.97E+07,Liter
Namibia,2019,83811.31,,
Austria,2019,82211.95,9.98E+07,Liter
Brazil,2019,80283.91,1.26E+08,Liter
Vietnam,2019,76926.25,7.45E+07,Liter
Malaysia,2019,61575.17,9.30E+07,Liter
"Serbia, FR(Serbia/Montenegro)",2019,58299.47,1.54E+08,Liter
Lithuania,2019,56675.23,1.06E+08,Liter
Sweden,2019,53758.54,7.04E+07,Liter
Turkey,2019,47122.1,7.09E+07,Liter
Estonia,2019,42886.38,6.84E+07,Liter
Slovenia,2019,42039.64,7.83E+07,Liter
India,2019,40014.82,4.52E+07,Liter
Ukraine,2019,38609.95,1.13E+08,Liter
"Hong Kong, China",2019,35933.49,3.23E+07,Liter
Croatia,2019,33775.2,6.25E+07,Liter
Belarus,2019,33193.8,9.26E+07,Liter
New Zealand,2019,28633.54,,
Jamaica,2019,25123.11,2.13E+07,Liter
Latvia,2019,24541.93,2.65E+07,Liter
Greece,2019,23578.72,4.41E+07,Liter
Romania,2019,23504.15,4.97E+07,Liter
Bulgaria,2019,22770.47,1.86E+07,Liter
Peru,2019,22552.06,2.52E+07,Liter
Uganda,2019,21809.59,2.76E+07,Liter
Luxembourg,2019,21370.37,1.73E+07,Liter
Guatemala,2019,20047.91,3.60E+07,Liter
United Arab Emirates,2019,19456.07,2.02E+07,Liter
Dominican Republic,2019,18182.46,2.49E+07,Liter
Kenya,2019,17604.43,2.49E+07,Liter
Argentina,2019,17200.81,2.98E+07,Liter
Hungary,2019,15679.23,4.55E+07,Liter
Finland,2019,14016.78,1.29E+07,Liter
Angola,2019,13434.17,6.02E+07,Liter
St. Lucia,2019,11798.65,5.04E+06,Liter
Norway,2019,9208.18,4.08E+06,Liter
Togo,2019,8133.62,1.26E+06,Liter
Indonesia,2019,7722.08,1.02E+07,Liter
Lao PDR,2019,7510.4,6.56E+06,Liter
Kazakhstan,2019,7247.5,1.78E+07,Liter
"Other Asia, nes",2019,6599.6,6.01E+06,Liter
El Salvador,2019,6142.59,1.09E+07,Liter
Sri Lanka,2019,6126.12,8.03E+06,Liter
Slovak Republic,2019,5483.21,8.85E+06,Liter
Nigeria,2019,5477.26,1.39E+07,Liter
Morocco,2019,4311.84,1.33E+07,Liter
Montenegro,2019,4081.25,8.42E+06,Liter
Costa Rica,2019,4005,5.09E+06,Liter
Georgia,2019,3480.15,4.20E+06,Liter
North Macedonia,2019,3450.54,7.87E+06,Liter
Lebanon,2019,3364.94,2.78E+06,Liter
Burundi,2019,3107.2,8.10E+06,Liter
"Egypt, Arab Rep.",2019,3068.88,5.88E+06,Liter
Nicaragua,2019,3056.58,5.41E+06,Liter
Uruguay,2019,3040.53,878927,Liter
Iceland,2019,2820.91,2.48E+06,Liter
Switzerland,2019,2709.33,,
St. Vincent and the Grenadines,2019,2499.67,2.66E+06,Liter
Jordan,2019,2484.49,6.42E+07,Liter
Bosnia and Herzegovina,2019,2115.29,3.47E+06,Liter
Myanmar,2019,2048.49,1.87E+06,Liter
Malta,2019,2029.22,1.43E+06,Liter
Colombia,2019,2005.88,2.58E+06,Liter
Belize,2019,1938.58,5.21E+06,Liter
Moldova,2019,1927.25,2.14E+06,Liter
Australia,2019,1868.51,919722,Liter
Philippines,2019,1857.73,2.78E+06,Liter
Ethiopia(excludes Eritrea),2019,1806.42,1.70E+06,Liter
Samoa,2019,1769.71,1.40E+06,Liter
Mauritius,2019,1698.26,2.07E+06,Liter
Tunisia,2019,1677.66,2.00E+06,Liter
Cyprus,2019,1533.24,1.45E+06,Liter
Cambodia,2019,1521.47,1.68E+06,Liter
Israel,2019,1452,1.41E+06,Liter
Armenia,2019,1268.23,1.48E+06,Liter
Chile,2019,1095.79,687630,Liter
Rwanda,2019,890.42,1.87E+06,Liter
Bolivia,2019,850.18,429360,Liter
Grenada,2019,583.99,821614,Liter
Mongolia,2019,531.58,511577,Liter
Niger,2019,498.18,489839,Liter
Madagascar,2019,492.56,483047,Liter
Nepal,2019,487.09,746902,Liter
Botswana,2019,478.5,804473,Liter
Barbados,2019,446.74,299142,Liter
Honduras,2019,446.54,604565,Liter
Occ.Pal.Terr,2019,419.18,412168,Liter
Fiji,2019,353.36,307765,Liter
Ghana,2019,347.01,38418.7,Liter
Benin,2019,334.39,644760,Liter
Tanzania,2019,242.18,314266,Liter
Ecuador,2019,237.56,,
Mozambique,2019,236.86,,
French Polynesia,2019,207.07,84195,Liter
Senegal,2019,190.5,310762,Liter
Burkina Faso,2019,148.98,30198,Liter
Bahrain,2019,124.58,90392.8,Liter
Guyana,2019,100.86,84555.1,Liter
Eswatini,2019,97.57,72185.2,Liter
Paraguay,2019,92.11,104655,Liter
Suriname,2019,85.67,60102.3,Liter
Uzbekistan,2019,71,180704,Liter
Kyrgyz Republic,2019,51.92,81623,Liter
Cote d'Ivoire,2019,41.93,158193,Liter
"Gambia, The",2019,38.67,48074.8,Liter
Macao,2019,32.29,,
Aruba,2019,28.16,14652.1,Liter
Lesotho,2019,21.88,49127,Liter
Cape Verde,2019,20.42,10800,Liter
"Congo, Dem. Rep.",2019,19.4,,
Zimbabwe,2019,12.08,18265.3,Liter
Seychelles,2019,7.81,510,Liter
Antigua and Barbuda,2019,3.74,5901.66,Liter
Zambia,2019,2.25,2048,Liter
Malawi,2019,1.02,64,Liter
Azerbaijan,2019,0.01,24.48,Liter
