País,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Mexico,Export,220300,Beer; made from malt,2019, World,        4541285.26,4.46529e+009,Liter
European Union,Export,220300,Beer; made from malt,2019, World,        3917820.76,3.62909e+009,Liter
Netherlands,Export,220300,Beer; made from malt,2019, World,        2015904.57,1.83818e+009,Liter
Belgium,Export,220300,Beer; made from malt,2019, World,        1956569.84,1.77688e+009,Liter
Germany,Export,220300,Beer; made from malt,2019, World,        1352381.72,1.5995e+009,Liter
United States,Export,220300,Beer; made from malt,2019, World,         805928.27,5.44392e+008,Liter
United Kingdom,Export,220300,Beer; made from malt,2019, World,         638786.83,5.39474e+008,Liter
France,Export,220300,Beer; made from malt,2019, World,         351887.97,4.98368e+008,Liter
Ireland,Export,220300,Beer; made from malt,2019, World,         344097.18,5.03136e+008,Liter
Czech Republic,Export,220300,Beer; made from malt,2019, World,         331662.42,5.46213e+008,Liter
Denmark,Export,220300,Beer; made from malt,2019, World,         276217.41,3.04213e+008,Liter
China,Export,220300,Beer; made from malt,2019, World,         255317.40,4.17591e+008,Liter
Italy,Export,220300,Beer; made from malt,2019, World,         253941.16,,
Spain,Export,220300,Beer; made from malt,2019, World,         243165.71,2.70608e+008,Liter
Poland,Export,220300,Beer; made from malt,2019, World,         206560.25,3.81497e+008,Liter
Russian Federation,Export,220300,Beer; made from malt,2019, World,         148529.20,3.64605e+008,Liter
Portugal,Export,220300,Beer; made from malt,2019, World,         147273.18,1.881e+008,Liter
"Korea, Rep.",Export,220300,Beer; made from malt,2019, World,         146229.10,2.09623e+008,Liter
Singapore,Export,220300,Beer; made from malt,2019, World,         127665.21,1.09828e+008,Liter
Thailand,Export,220300,Beer; made from malt,2019, World,         127580.08,1.38427e+008,Liter
Canada,Export,220300,Beer; made from malt,2019, World,         109260.93,1.46087e+008,Liter
South Africa,Export,220300,Beer; made from malt,2019, World,          92352.34,1.31175e+008,Liter
Japan,Export,220300,Beer; made from malt,2019, World,          84070.24,8.97054e+007,Liter
Namibia,Export,220300,Beer; made from malt,2019, World,          83811.31,,
Austria,Export,220300,Beer; made from malt,2019, World,          82211.95,9.97847e+007,Liter
Brazil,Export,220300,Beer; made from malt,2019, World,          80283.91,1.25899e+008,Liter
Vietnam,Export,220300,Beer; made from malt,2019, World,          76926.25,7.45044e+007,Liter
Malaysia,Export,220300,Beer; made from malt,2019, World,          61575.17,9.30206e+007,Liter
"Serbia, FR(Serbia/Montenegro)",Export,220300,Beer; made from malt,2019, World,          58299.47,1.54446e+008,Liter
Lithuania,Export,220300,Beer; made from malt,2019, World,          56675.23,1.05725e+008,Liter
Sweden,Export,220300,Beer; made from malt,2019, World,          53758.54,7.04429e+007,Liter
Turkey,Export,220300,Beer; made from malt,2019, World,          47122.10,7.09035e+007,Liter
Estonia,Export,220300,Beer; made from malt,2019, World,          42886.38,6.83609e+007,Liter
Slovenia,Export,220300,Beer; made from malt,2019, World,          42039.64,7.82771e+007,Liter
India,Export,220300,Beer; made from malt,2019, World,          40014.82,4.51648e+007,Liter
Ukraine,Export,220300,Beer; made from malt,2019, World,          38609.95,1.12809e+008,Liter
"Hong Kong, China",Export,220300,Beer; made from malt,2019, World,          35933.49,3.22929e+007,Liter
Croatia,Export,220300,Beer; made from malt,2019, World,          33775.20,6.25473e+007,Liter
Belarus,Export,220300,Beer; made from malt,2019, World,          33193.80,9.26296e+007,Liter
New Zealand,Export,220300,Beer; made from malt,2019, World,          28633.54,,
Jamaica,Export,220300,Beer; made from malt,2019, World,          25123.11,2.125e+007,Liter
Latvia,Export,220300,Beer; made from malt,2019, World,          24541.93,2.65431e+007,Liter
Greece,Export,220300,Beer; made from malt,2019, World,          23578.72,4.4109e+007,Liter
Romania,Export,220300,Beer; made from malt,2019, World,          23504.15,4.97062e+007,Liter
Bulgaria,Export,220300,Beer; made from malt,2019, World,          22770.47,1.85542e+007,Liter
Peru,Export,220300,Beer; made from malt,2019, World,          22552.06,2.51892e+007,Liter
Uganda,Export,220300,Beer; made from malt,2019, World,          21809.59,2.7597e+007,Liter
Luxembourg,Export,220300,Beer; made from malt,2019, World,          21370.37,1.72598e+007,Liter
Guatemala,Export,220300,Beer; made from malt,2019, World,          20047.91,3.60366e+007,Liter
United Arab Emirates,Export,220300,Beer; made from malt,2019, World,          19456.07,2.01949e+007,Liter
Dominican Republic,Export,220300,Beer; made from malt,2019, World,          18182.46,2.4942e+007,Liter
Kenya,Export,220300,Beer; made from malt,2019, World,          17604.43,2.49234e+007,Liter
Argentina,Export,220300,Beer; made from malt,2019, World,          17200.81,2.97626e+007,Liter
Hungary,Export,220300,Beer; made from malt,2019, World,          15679.23,4.55187e+007,Liter
Finland,Export,220300,Beer; made from malt,2019, World,          14016.78,1.28958e+007,Liter
Angola,Export,220300,Beer; made from malt,2019, World,          13434.17,6.02248e+007,Liter
St. Lucia,Export,220300,Beer; made from malt,2019, World,          11798.65,5.03896e+006,Liter
Norway,Export,220300,Beer; made from malt,2019, World,           9208.18,4.0763e+006,Liter
Togo,Export,220300,Beer; made from malt,2019, World,           8133.62,1.25876e+006,Liter
Indonesia,Export,220300,Beer; made from malt,2019, World,           7722.08,1.01509e+007,Liter
Lao PDR,Export,220300,Beer; made from malt,2019, World,           7510.40,6.56097e+006,Liter
Kazakhstan,Export,220300,Beer; made from malt,2019, World,           7247.50,1.77736e+007,Liter
"Other Asia, nes",Export,220300,Beer; made from malt,2019, World,           6599.60,6.00542e+006,Liter
El Salvador,Export,220300,Beer; made from malt,2019, World,           6142.59,1.08587e+007,Liter
Sri Lanka,Export,220300,Beer; made from malt,2019, World,           6126.12,8.03337e+006,Liter
Slovak Republic,Export,220300,Beer; made from malt,2019, World,           5483.21,8.8473e+006,Liter
Nigeria,Export,220300,Beer; made from malt,2019, World,           5477.26,1.38624e+007,Liter
Morocco,Export,220300,Beer; made from malt,2019, World,           4311.84,1.3252e+007,Liter
Montenegro,Export,220300,Beer; made from malt,2019, World,           4081.25,8.4167e+006,Liter
Costa Rica,Export,220300,Beer; made from malt,2019, World,           4005.00,5.08846e+006,Liter
Georgia,Export,220300,Beer; made from malt,2019, World,           3480.15,4.20326e+006,Liter
North Macedonia,Export,220300,Beer; made from malt,2019, World,           3450.54,7.86607e+006,Liter
Lebanon,Export,220300,Beer; made from malt,2019, World,           3364.94,2.78401e+006,Liter
Burundi,Export,220300,Beer; made from malt,2019, World,           3107.20,8.09583e+006,Liter
"Egypt, Arab Rep.",Export,220300,Beer; made from malt,2019, World,           3068.88,5.88498e+006,Liter
Nicaragua,Export,220300,Beer; made from malt,2019, World,           3056.58,5.4062e+006,Liter
Uruguay,Export,220300,Beer; made from malt,2019, World,           3040.53,878927,Liter
Iceland,Export,220300,Beer; made from malt,2019, World,           2820.91,2.47957e+006,Liter
Switzerland,Export,220300,Beer; made from malt,2019, World,           2709.33,,
St. Vincent and the Grenadines,Export,220300,Beer; made from malt,2019, World,           2499.67,2.66072e+006,Liter
Jordan,Export,220300,Beer; made from malt,2019, World,           2484.49,6.41666e+007,Liter
Bosnia and Herzegovina,Export,220300,Beer; made from malt,2019, World,           2115.29,3.4723e+006,Liter
Myanmar,Export,220300,Beer; made from malt,2019, World,           2048.49,1.87452e+006,Liter
Malta,Export,220300,Beer; made from malt,2019, World,           2029.22,1.42727e+006,Liter
Colombia,Export,220300,Beer; made from malt,2019, World,           2005.88,2.57857e+006,Liter
Belize,Export,220300,Beer; made from malt,2019, World,           1938.58,5.20758e+006,Liter
Moldova,Export,220300,Beer; made from malt,2019, World,           1927.25,2.14089e+006,Liter
Australia,Export,220300,Beer; made from malt,2019, World,           1868.51,919722,Liter
Philippines,Export,220300,Beer; made from malt,2019, World,           1857.73,2.78373e+006,Liter
Ethiopia(excludes Eritrea),Export,220300,Beer; made from malt,2019, World,           1806.42,1.7001e+006,Liter
Samoa,Export,220300,Beer; made from malt,2019, World,           1769.71,1.39598e+006,Liter
Mauritius,Export,220300,Beer; made from malt,2019, World,           1698.26,2.0716e+006,Liter
Tunisia,Export,220300,Beer; made from malt,2019, World,           1677.66,2.00044e+006,Liter
Cyprus,Export,220300,Beer; made from malt,2019, World,           1533.24,1.44981e+006,Liter
Cambodia,Export,220300,Beer; made from malt,2019, World,           1521.47,1.68158e+006,Liter
Israel,Export,220300,Beer; made from malt,2019, World,           1452.00,1.40629e+006,Liter
Armenia,Export,220300,Beer; made from malt,2019, World,           1268.23,1.48482e+006,Liter
Chile,Export,220300,Beer; made from malt,2019, World,           1095.79,687630,Liter
Rwanda,Export,220300,Beer; made from malt,2019, World,            890.42,1.8661e+006,Liter
Bolivia,Export,220300,Beer; made from malt,2019, World,            850.18,429360,Liter
Grenada,Export,220300,Beer; made from malt,2019, World,            583.99,821614,Liter
Mongolia,Export,220300,Beer; made from malt,2019, World,            531.58,511577,Liter
Niger,Export,220300,Beer; made from malt,2019, World,            498.18,489839,Liter
Madagascar,Export,220300,Beer; made from malt,2019, World,            492.56,483047,Liter
Nepal,Export,220300,Beer; made from malt,2019, World,            487.09,746902,Liter
Botswana,Export,220300,Beer; made from malt,2019, World,            478.50,804473,Liter
Barbados,Export,220300,Beer; made from malt,2019, World,            446.74,299142,Liter
Honduras,Export,220300,Beer; made from malt,2019, World,            446.54,604565,Liter
Occ.Pal.Terr,Export,220300,Beer; made from malt,2019, World,            419.18,412168,Liter
Fiji,Export,220300,Beer; made from malt,2019, World,            353.36,307765,Liter
Ghana,Export,220300,Beer; made from malt,2019, World,            347.01,38418.7,Liter
Benin,Export,220300,Beer; made from malt,2019, World,            334.39,644760,Liter
Tanzania,Export,220300,Beer; made from malt,2019, World,            242.18,314266,Liter
Ecuador,Export,220300,Beer; made from malt,2019, World,            237.56,,
Mozambique,Export,220300,Beer; made from malt,2019, World,            236.86,,
French Polynesia,Export,220300,Beer; made from malt,2019, World,            207.07,84195,Liter
Senegal,Export,220300,Beer; made from malt,2019, World,            190.50,310762,Liter
Burkina Faso,Export,220300,Beer; made from malt,2019, World,            148.98,30198,Liter
Bahrain,Export,220300,Beer; made from malt,2019, World,            124.58,90392.8,Liter
Guyana,Export,220300,Beer; made from malt,2019, World,            100.86,84555.1,Liter
Eswatini,Export,220300,Beer; made from malt,2019, World,             97.57,72185.2,Liter
Paraguay,Export,220300,Beer; made from malt,2019, World,             92.11,104655,Liter
Suriname,Export,220300,Beer; made from malt,2019, World,             85.67,60102.3,Liter
Uzbekistan,Export,220300,Beer; made from malt,2019, World,             71.00,180704,Liter
Kyrgyz Republic,Export,220300,Beer; made from malt,2019, World,             51.92,81623,Liter
Cote d'Ivoire,Export,220300,Beer; made from malt,2019, World,             41.93,158193,Liter
"Gambia, The",Export,220300,Beer; made from malt,2019, World,             38.67,48074.8,Liter
Macao,Export,220300,Beer; made from malt,2019, World,             32.29,,
Aruba,Export,220300,Beer; made from malt,2019, World,             28.16,14652.1,Liter
Lesotho,Export,220300,Beer; made from malt,2019, World,             21.88,49127,Liter
Cape Verde,Export,220300,Beer; made from malt,2019, World,             20.42,10800,Liter
"Congo, Dem. Rep.",Export,220300,Beer; made from malt,2019, World,             19.40,,
Zimbabwe,Export,220300,Beer; made from malt,2019, World,             12.08,18265.3,Liter
Seychelles,Export,220300,Beer; made from malt,2019, World,              7.81,510,Liter
Antigua and Barbuda,Export,220300,Beer; made from malt,2019, World,              3.74,5901.66,Liter
Zambia,Export,220300,Beer; made from malt,2019, World,              2.25,2048,Liter
Malawi,Export,220300,Beer; made from malt,2019, World,              1.02,64,Liter
Azerbaijan,Export,220300,Beer; made from malt,2019, World,              0.01,24.48,Liter
